indicative,name
Alicante,8025
ACoruña,1387
Avila,2444
Avila,2444C
Badajoz,4452
Barcelona,0076
Bilbao,1082
Burgos,2331
Caceres,3469A
Caceres,3469
Castellón,8501
Castellón,8500A
CiudadReal,4121C
CiudadReal,4121
Cordoba,5402
Cuenca,8096
Donostia,1024E
Girona,0367
Granada,5514
GranCanaria,C649I
Huelva,4605
Huelva,4642E
Huesca,9898
Jerez,5960
León,2661
Lleida,9771
Lleida,9771C
Logroño,9170
Madrid(Retiro),3195
Malaga,6155A
Mallorca,B278
Melilla,6000A
Murcia,7031
Ourense,1690A
Ourense,1690B
Oviedo,1249I
Pamplona,9262
Pontevedra,1484C
Reus,0016A
Salamanca,2867
Santander,1109
Santiago,1428
Segovia,2465A
Segovia,2465
Sevilla,5783
Soria,2030
Tenerife,C447A
Toledo,3259
Toledo,3260B
Valencia,8416
Valladolid,2539
Zaragoza,9434
